name,suburb,category,description,address
Super Emoji Belconnen,Belconnen,Food and drinks,"As the rising star among the most popular bubble tea brands in Canberra, Super Emoji is the expert who makes the most creative drinks and bakery.
Thanks to the extremely strict standards of ingredients selection, Super Emoji only uses the best tea, freshest fruits and dairy, as well as the most in",Kiosk 223 Westfield Belconnen
Jasper and Myrtle Chocolates,Fyshwick,Food and drinks,"Jasper and Myrtle Chocolates is an award winning bean to bar chocolate maker in the Dairy Rd precinct, Fyshwick Canberra. Their chocolates are made from cacao beans personally sourced from Bougainville, PNG. Their range includes single origin dark chocolate bars and delicious, innovative flavours
","Unit 9, Building 3.1, 1Dairy Road"
On The Grind Canberra cafe,Kambah,Food and drinks,"Your local suburban coffee shop. Specialising in quick coffee for on the run, friendly service & easy grab n go food options",5/9 Jenke cct
Canberra halal market kippax,Holt,Retail,"We selling Halal Meat Goat , Lamb, Beef, chicken and all Indian Pakistani grocery ..",6/116 Hardwick Crescent
Char Char Thai,Acton,Food and drinks,"Char Char offers delicious Malaysian and Thai inspired dishes and drinks to compliment any meal.
",Shop154-B2 Joplin Lane
OMG Decadent Donuts - ACT Region,Torrens,Food and drinks,"We create absolutely delicious, gluten free, vegan, nut free, yeast free, dairy free, egg free donuts in 12 amazing flavours.
We are a pop-up market stall - please check our FaceBook, Insta or website to see where you can pick up your donuts each week.","Shop 1, Torrens Shops"
Thai Chiang rai Kingston,Kingston,Food and drinks,"Named after Chiang Rai - a region in Northern Thailand. Thai Chiang Rai has consistently offered authentic and sometimes unique dishes that have impressed enough to see it win awards for Thai cooking in the ACT on a number of occasions.
",48 Giles st
1882 Hall,Hall,Food and drinks,"We’re all about great food and amazing local wines. Enjoy our delicious seasonal menu or join us for one of our upcoming wine dinners.
1882 Hall - Best Casual Dining, 2021 AHA Awards.",13 Gladstone St
HEALTH FIRST CHINESE ACUPRESSURE MASSAGE,Gungahlin,Personal care,"We established in 2005,we offer traditional Chinese acupressure massage, deep tissue massage, relaxation massage and remedial massage service. Find out more about our service here.","SHOP 12D, 46-50HIBBERSON STREET, GUNGAHLIN VILLAGE"
Subway Belconnen Westfield,Belconnen,Food and drinks,"Did you know our fresh vegetables are sliced daily in-restaurant? With locally-sourced vegetables, premium-quality meats and bread baked daily, we stand for fresh.","Shop 192, Westfield Belconnen, Benjamin Way"
Lokma Turkish Cuisine Pty Ltd,Casey,Food and drinks,Our team brings years of experience to help make Lokma Turkish Cuisine Canberra's favorite Turkish Takeaway.,"Shop 2A, 15 Kingsland Parade"
Mirtsch Brero Pty Ltd,Belconnen,Food and drinks,"We are about more than just delicious, Mexican inspired food made with healthy ingredients. We are a way to feel good inside, by helping in our mission to stop world hunger, one meal at a time.

We are Feel Good Mex.

","Zambrero Belconnen, Shop 5, 102 Emu Bank"
Mont Adventure Equipment,Fyshwick,Retail,"Mont is a Canberra-owned-and-operated adventure equipment company fiercely committed to better gear for the wild. We are Canberra's adventure gear experts with a huge range, helpful staff, and local adventure knowledge. Open seven days a week, plus free parking right outside.",18 Pirie St
Local Press Wholefoods,Kingston,Food and drinks,"At Local Press Wholefoods, our core value is to promote a healthy & sustainable lifestyle. We want to inspire you to eat well while doing what’s best for the planet.
Serving specialty coffee & delicious hearty food, we are open 7 days a week. We also have an amazing range of bulk foods & treats.",Shop 74/ 71 Giles Street
Loveofballoon,Gungahlin,Retail,"The flashlight flower balloons last for few weeks to few months, it’s a perfect gift for this Father’s Day. Order now and pick up later when you need it.",79/1 Anthony Rolfe Avenue
Chinese Inn Restaurant,Kippax Centre,Food and drinks,"Bringing the local community their favourite authentic Chinese and Malaysian dishes. Very friendly family environment, for dine in and takeaway. Est. 1997","30 Hardwick Crescent, Canberra, ACT, 2615"
Jolt Games,Mitchell,Retail,"For all your gaming needs: Board-games,Role playing games, Trading card games, Miniature war-games and lots more... Great Space... awesome people.","U 4,56, Hoskins Street"
K Bar Karaoke,Belconnen,Food and drinks,"K Bar Karaoke is here in Canberra at lakeside 7 Boardwalk, 114 Emu Bank, Belconne ACT.
- 10 private karaoke function rooms.
- Enjoy state-of-the-art audio sound and a user friendly touch screen system.
- Over 300,000 songs to choose from, with plenty of old classics plus all the latest hits.
",7/114 Emu Bank
Merlin Mosaica,Calwell,Retail,"Supplier of glass, tools and supplies for the Australian Mosaic artist.

Stunning stained glass & mirror sheets, an unusual range of glass tiles & beads, and amazing ergonomic tools. If you’re hunting for something a bit special – just ask and we’ll try to find it.

ABSOLUTELY AUSTRALIAN, DEFINITELY DIFFERENT
",12/92 Casey Crescent
Warehouse Circus,Chifley,Things to do,"Warehouse Circus is a not-for-profit community organisation which truly transforms lives through circus. With over thirty years’ experience teaching and performing across the Canberra region and beyond, Warehouse Circus is one of Australia’s finest youth circus organisations.",4/70 MacLaurin Crescent
Punjabihut Indian Restaurant,Wanniassa,Food and drinks,"Punjabi hut Indian restaurant located in Erindale provides a fresh and exciting flavour of Indian food and takeaway since 2007. Punjabi Hut is well known for its Food Quality, Taste and Quantity. Treat yourself to the exciting mouth-watering Butter chicken and Naan breads prepared in a clay oven.",Shop 3b/38 Gartside Street
ORITEA,Braddon,Food and drinks,"In the meanwhile, we will continue extending our reaches in community services as well as take on our social responsibility diligently and support our communities to achieve a healthier future.","Shop G06, 2 Batman Street"
Bunny beans Cafe,Holt,Food and drinks,Cozy corner cafe serving modern brunch menu and locally roasted black mountain coffee beans.,64 Hardwick Crescent
