name,suburb,category,lng,lat,value,vouchers
Herbert's at Evatt,Evatt,food & drinks,149.0739971,-35.208861,1000,29
INSKINCARE,Evatt,retail,149.0736739,-35.2089308,300,10
Luxe Tanning & Lash Studio (formally Luscious Glow),Evatt,personal care,149.0712884,-35.2094397,220,5
Tuggeranong Therapeutic Massage,Fadden,personal care,149.118503,-35.404925,1850,37
KillingPrints,Farrer,retail,149.0959243,-35.3734692,10,1
Pure Pod — Sustainable,Farrer,retail,149.0954986,-35.3748252,210,6
The Mustang Nepalese Restaurant & Bar,Farrer,food & drinks,149.1016081,-35.3755493,910,22
Foodworks Forde,Forde,retail,149.1426139,-35.1715314,470,17
Jimmy's Palace Restaurant,Forde,food & drinks,149.1428,-35.1713012,1040,30
Launch Pad,Forde,things to do,149.144655,-35.1780739,200,4
Mulligans Flat,Forde,things to do,149.1424881,-35.171666,130,4
Forrest Hotel & Apartments,Forrest,accommodation,149.1279859,-35.3156219,130,4
Canberra Hopper Hut,Franklin,food & drinks,149.150374,-35.1935842,1070,34
Coffee Guru Franklin,Franklin,food & drinks,149.1486233,-35.1996245,1280,52
Fresco Seafood,Franklin,food & drinks,149.1485299,-35.2005454,23510,723
Lion City,Franklin,food & drinks,149.1504567,-35.1930852,2430,99
Fook Lee Sheng Chinese Take Away,Fraser,food & drinks,149.0435938,-35.192986,80,4
Adam & Eve,Fyshwick,retail,149.1811836,-35.32269337,1220,34
Axxe,Fyshwick,things to do,149.1729423,-35.3287887,1240,29
Bags to Go,Fyshwick,retail,149.1789851,-35.3223167,450,11
BDL Car Stereo,Fyshwick,retail,149.1728799,-35.3238492,200,4
Blue Ink Group,Fyshwick,retail,149.1847952,-35.3285859,50,1
Cake Decorating Solutions,Fyshwick,retail,149.1770217,-35.32634053,930,26
Canberra Caravan & 4X4 Centre,Fyshwick,retail,149.1757005,-35.3245351,100,2
Cannoli Brothers,Fyshwick,food & drinks,149.1785063,-35.3271717,90,3
Carpet Factory,Fyshwick,retail,149.1778781,-35.3243549,150,3
Designer Op Shop Emporium,Fyshwick,food & drinks,149.1729423,-35.3287887,670,19
Donut King Canberra DFO,Fyshwick,food & drinks,149.1784548,-35.3366664,150,9
Drummond Golf Fyshwick,Fyshwick,retail,149.1749615,-35.3216316,3750,81
EBEST Canberra,Fyshwick,retail,149.1829936,-35.3240087,23720,621
Elaine's Gourmet Pies,Fyshwick,food & drinks,149.1794161,-35.3242757,310,14
Empreus IT Support,Fyshwick,retail,149.1787287,-35.3238793,50,1
FishCo Fish Market,Fyshwick,retail,149.1541652,-35.322675,2760,71
Flow Yoga Canberra,Fyshwick,personal care,149.1633405,-35.3168456,280,8
Gingerfinch,Fyshwick,retail,149.1672149,-35.3322199,580,13
Green Tea En,Fyshwick,food & drinks,149.1549571,-35.3241641,200,7
Guifeng Zhou,Fyshwick,retail,149.1721347,-35.3281731,210,5
Gymquip Fitness & Spas,Fyshwick,retail,149.1749615,-35.3216316,950,22
Hadfield Painting Studio,Fyshwick,retail,149.1786858,-35.3232623,1330,32
Homemakers,Fyshwick,retail,149.1786827,-35.3367379,150,3
Horseland Canberra,Fyshwick,retail,149.1641713,-35.3278538,490,13
Intersport Fyshwick,Fyshwick,retail,149.1765768,-35.3337327,3190,83
ION DNA Electric Vehicles,Fyshwick,retail,149.1844441,-35.3262866,200,4
Jasper & Myrtle Chocolates,Fyshwick,food & drinks,149.174,-35.329,600,21
Kidzplore Indoor Play Centre,Fyshwick,things to do,149.1633405,-35.3168456,1530,36
Lisa Cahill | Atelier 818,Fyshwick,retail,149.176288,-35.33293429,350,7
Lollypotz,Fyshwick,retail,149.1746474,-35.3251537,20,1
Love Food Catering,Fyshwick,food & drinks,149.1562665,-35.3237154,60,2
Mamak Lunch,Fyshwick,food & drinks,149.1786827,-35.3367379,390,19
Melted Toasted Sandwich Emporium,Fyshwick,food & drinks,149.1681197,-35.3334449,290,22
Military Shop,Fyshwick,retail,149.1740246,-35.3232907,380,12
Mont Adventure Equipment,Fyshwick,retail,149.1704072,-35.3258816,9620,213
Motherly Instincts,Fyshwick,retail,149.1798932,-35.3251886,1850,42
Mountain Strong,Fyshwick,things to do,149.1824626,-35.3297909,1440,33
Mr Papa — Peruvian Street Food,Fyshwick,food & drinks,149.1718654,-35.3280197,1020,44
Muay Tings,Fyshwick,retail,149.1826692,-35.3249916,100,2
Muay U,Fyshwick,things to do,149.1826692,-35.3249916,120,3
Nassis Snack Bar,Fyshwick,food & drinks,149.173169,-35.32352,10,1
Perform Australia,Fyshwick,things to do,149.1732115,-35.3336004,200,4
Plastic Creations,Fyshwick,retail,149.1779242,-35.3234092,560,13
Quizzic Alley,Fyshwick,retail,149.1699879,-35.325611,1340,32
Revelation Puzzle Rooms,Fyshwick,things to do,149.184295,-35.324569,250,7
Rusden Europro Automotive,Fyshwick,retail,149.1752756,-35.328281,10260,222
Sharwood Hampers,Fyshwick,retail,149.1835518,-35.32733994,150,3
Spaza Store,Fyshwick,retail,149.1547409,-35.3241608,510,14
Straight Line Sports,Fyshwick,retail,149.1707886,-35.3257755,3400,76
Tackle World Canberra,Fyshwick,retail,149.1819591,-35.3246525,8590,179
The Bank Indoor Skate Park,Fyshwick,things to do,149.1836643,-35.3313687,1120,23
The Battery Factory,Fyshwick,retail,149.1755694,-35.3273611,50,1
The Coffee Club Canberra Outlet Centre,Fyshwick,food & drinks,149.1786185,-35.3375099,180,12
The Muesli Bar,Fyshwick,retail,149.180144,-35.3242312,60,4
The Plastic Free Shop,Fyshwick,retail,149.1562665,-35.3237154,450,14
Tjm Canberra,Fyshwick,retail,149.1708783,-35.3254902,1090,23
Toyworld Fyshwick & Toyworld Belconnen,Fyshwick,retail,149.1757916,-35.331396,12140,302
Via & BC,Fyshwick,retail,149.1777792,-35.337436,2420,58
Vietnamese Bakery & Cafe,Fyshwick,food & drinks,149.1718879,-35.3265702,220,9
Wok Me,Fyshwick,food & drinks,149.1784548,-35.3366664,760,31
Workin' Gear,Fyshwick,retail,149.1750519,-35.323836,3020,67
Yan Capital Motors,Fyshwick,retail,149.1713943,-35.3260042,70,3
Ziggys Fresh Fyshwick,Fyshwick,retail,149.155024,-35.32319212,3090,125
Accelerate Physiotherapy,Garran,personal care,149.1078307,-35.3420415,540,12
Colleen's Lingerie & Swimwear,Garran,retail,149.1082196,-35.3424587,1310,28
Garran Kitchen,Garran,food & drinks,149.1081542,-35.3423222,640,21
About Face Beauty & Anti Ageing Salon,Greenway,retail,149.0698197,-35.4197902,180,5
Across The Board Cake Decorating,Greenway,retail,149.0682154,-35.4157809,7450,174
Akikambara,Greenway,retail,149.0678568,-35.4153694,6050,132
Arnold's Ribs & Pizza,Greenway,food & drinks,149.065965,-35.4184151,240,11
Books R Us & More,Greenway,retail,149.0665317,-35.4167822,1090,40
Caffe Cherry Beans Tuggeranong,Greenway,food & drinks,149.0662918,-35.4152373,520,33
Caffe Luxxe Espresso,Greenway,food & drinks,149.0665317,-35.4167822,100,2
Canberra Cafe & Restaurant,Greenway,food & drinks,149.0677873,-35.4179638,50,4
Chalisa Indian Restaurant,Greenway,food & drinks,149.0665317,-35.4167822,920,29
Chong Co Tuggeranong,Greenway,food & drinks,149.0717123,-35.4197933,1580,48
Elegant Image Day Spa Medi Spa,Greenway,retail,149.0681013,-35.4158492,440,12
Home & Giving,Greenway,retail,149.0665317,-35.4167822,430,11
Jazzercise South Canberra,Greenway,things to do,149.0660635,-35.4185821,370,14
Lewrap Tuggeranong,Greenway,food & drinks,149.0665317,-35.4167822,90,5
Limelight Cinemas,Greenway,things to do,149.0665317,-35.4167822,4680,135
Mookie Burger Tuggeranong,Greenway,food & drinks,149.0668468,-35.4163317,1640,68
Passionails,Greenway,personal care,149.0686124,-35.4169362,1040,31
Quick Wok,Greenway,food & drinks,149.067418,-35.4161479,70,7
Rashays Tuggeranong,Greenway,food & drinks,149.0665317,-35.4167822,2920,133
Sharetea Tuggeranong,Greenway,food & drinks,149.0665317,-35.4167822,370,27
Smart Dollar Tuggeranong,Greenway,retail,149.0660018,-35.41664063,3230,166
Supreme Massage,Greenway,personal care,149.0668468,-35.4163317,880,24
Swagat Grocers & Convenience Store,Greenway,food & drinks,149.0699459,-35.4199586,610,13
The Coffee Club Tuggernnong,Greenway,food & drinks,149.0665317,-35.4167822,660,29
Urban Fresh Sushi,Greenway,food & drinks,149.0677495,-35.4179174,350,14
Vanilla Pod Pizza & Pasta Bar,Greenway,food & drinks,149.0668468,-35.4163317,890,34
Zambrero Tuggeranong,Greenway,food & drinks,149.0676897,-35.4159587,770,48
5 Senses Gourmet Cafe,Greenway,food & drinks,149.0665317,-35.4167822,130,4
Amaznails,Greenway,personal care,149.0678568,-35.4153694,60,3
Boost Juice Tuggeranong/Woden/Fyshwick,Greenway,food & drinks,149.0665317,-35.4167822,210,16
Fernwood Fitness Tuggeranong,Greenway,personal care,149.067559,-35.4189373,170,5
Gametraders Hyperdome,Greenway,retail,149.0665317,-35.4167822,3850,109
Hero Sushi Tuggeranong Miki Sushi Woden,Greenway,food & drinks,149.0665317,-35.4167822,1110,56
Pandora Tuggeranong,Greenway,retail,149.0665317,-35.4167822,7530,171
Asian Arts Manuka,Griffith,retail,149.1322666,-35.3196423,170,4
Bambusa Asian Cuisine,Griffith,food & drinks,149.1325592,-35.3199542,2290,60
Cafe Friends,Griffith,food & drinks,149.1318233,-35.3200791,30,2
Capital Star Nails & Beauty,Griffith,personal care,149.1316371,-35.3200245,100,4
Just Cuts Manuka & Fyshwick,Griffith,personal care,149.134123,-35.321002,530,22
McDonald's Manuka,Griffith,food & drinks,149.1334712,-35.3203347,400,28
My Cafe,Griffith,food & drinks,149.1328657,-35.3200861,110,7
Timmy's Kitchen,Griffith,food & drinks,149.1318423,-35.3199218,1210,47
Typica Cafe Manuka,Griffith,food & drinks,149.1324319,-35.3204702,660,20
Wolfie,Griffith,retail,149.1325625,-35.3205902,2270,54
Woolshed at Manuka,Griffith,retail,149.1326418,-35.3208534,1290,38
Belluci's Manuka,Griffith,food & drinks,149.1324215,-35.3196219,2190,53
Home French Home,Griffith,retail,149.1327229,-35.3201547,850,19
Italian Brothers,Griffith,food & drinks,149.1327229,-35.3201547,980,31
Lilly Cooper,Griffith,retail,149.1329536,-35.3205004,2230,60
Ohsama Ramen,Griffith,food & drinks,149.1331763,-35.3204671,570,15
Trecento Restaurant,Griffith,food & drinks,149.1341946,-35.3210247,630,17
Zambrero Manuka,Griffith,food & drinks,149.1341509,-35.3208748,120,11
ACT Fruit Veg & Butcher,Gungahlin,food & drinks,149.1371932,-35.1848955,9760,270
Amita Beauty & Hair Parlour,Gungahlin,personal care,149.1386664,-35.1803739,960,22
Anthos Flowers,Gungahlin,retail,149.1360261,-35.1863683,220,10
Asian Tea House,Gungahlin,food & drinks,149.1351634,-35.18597739,1430,67
Beauty Central,Gungahlin,personal care,149.1347762,-35.1846599,3360,86
Boost Juice Marketplace Gungahlin,Gungahlin,food & drinks,149.1347762,-35.1846599,210,11
Caffe Cherry Beans Gungahlin,Gungahlin,food & drinks,149.1337286,-35.1854625,350,26
Continental Grocery & Halal Meat,Gungahlin,food & drinks,149.1370419,-35.1846636,7600,199
DaMingle,Gungahlin,food & drinks,149.1359757,-35.1863719,1780,60
Desi Bazzar,Gungahlin,food & drinks,149.136488,-35.1848047,19070,447
Donut King Gungahlin,Gungahlin,food & drinks,149.1367644,-35.1868916,190,18
Event Corner,Gungahlin,retail,149.1353419,-35.18239551,1650,33
Fernwood Fitness Gungahlin,Gungahlin,things to do,149.1337286,-35.1854625,460,11
Fortune Box,Gungahlin,food & drinks,149.1359097,-35.1854307,5650,180
Gelca,Gungahlin,personal care,149.1340107,-35.1850405,120,9
Ginger & Spice,Gungahlin,food & drinks,149.1353025,-35.1853985,17030,499
Gloww Beauty,Gungahlin,personal care,149.1347762,-35.1846599,260,10
Gongcha Gungahlin,Gungahlin,food & drinks,149.1360261,-35.1863683,990,84
Goodyear Autocare Gungahlin,Gungahlin,retail,149.125636,-35.1850835,1020,21
Gungahlin Centre News,Gungahlin,retail,149.1347762,-35.1846599,1070,38
Gungahlin Massage Centre,Gungahlin,personal care,149.1347447,-35.18482698,2590,77
Happy Hair Day,Gungahlin,personal care,149.1350983,-35.1828591,940,31
Health First Chinese Acupressure Massage,Gungahlin,personal care,149.135972,-35.186322,1800,50
Healthy Start Discount Vitamins,Gungahlin,retail,149.1359867,-35.18614398,2080,67
Hongtao Gao,Gungahlin,retail,149.1384468,-35.1837063,3950,113
Jasmine House Family Restaurant,Gungahlin,food & drinks,149.1310572,-35.1837539,2590,79
Korner Tapri,Gungahlin,food & drinks,149.1347762,-35.1846599,2240,85
La Empanada,Gungahlin,food & drinks,149.1353278,-35.1853507,530,21
Loveofballoon,Gungahlin,retail,149.1299195,-35.181994,190,7
Mani Asian Supermarket,Gungahlin,food & drinks,149.134343,-35.186077,29990,883
Number 1 Spicy Noodle,Gungahlin,food & drinks,149.135972,-35.186322,2010,117
Ogawa Japanese Cuisine,Gungahlin,food & drinks,149.135589,-35.1847014,2440,81
OnSon Thai Massage & Day Spa,Gungahlin,personal care,149.1371871,-35.185035,2310,51
Pharmacy Select Gungahlin,Gungahlin,retail,149.1363953,-35.185927,4700,159
Runway 13 — Hobby Retail & Wholesale,Gungahlin,retail,149.1382402,-35.1782518,860,19
Sharetea Gungahlin,Gungahlin,food & drinks,149.133036,-35.1852318,540,50
Simply Pho,Gungahlin,food & drinks,149.134769,-35.185032,1350,51
Siren Bar & Restaurant,Gungahlin,food & drinks,149.1318931,-35.183327,220,7
Sox Star,Gungahlin,retail,149.1337286,-35.1854625,200,9
Story Room Canberra,Gungahlin,retail,149.1350983,-35.1828591,3950,105
Sunday In Canberra,Gungahlin,food & drinks,149.135589,-35.1847014,360,20
Super Emoji Gungahlin,Gungahlin,food & drinks,149.1294005,-35.18183797,5040,194
Sydney Rams,Gungahlin,retail,149.1331888,-35.1848509,1160,30
The Coffee Club Gungahlin,Gungahlin,food & drinks,149.1335369,-35.1854481,260,11
The Creamery & Co,Gungahlin,food & drinks,149.1347762,-35.1846599,280,20
The Tongdak,Gungahlin,food & drinks,149.1347762,-35.1846599,2380,97
Vina Groceries,Gungahlin,retail,149.1366013,-35.18456507,18050,524
Wokitup! Gungahlin,Gungahlin,food & drinks,149.1351855,-35.1858901,1340,76
Yesmart,Gungahlin,food & drinks,149.1370419,-35.1846636,13830,396
Zehni's Turkish Kitchen,Gungahlin,food & drinks,149.1343913,-35.18586602,890,37
Siam Twist,Hackett,food & drinks,149.1630676,-35.2483739,380,12
1882 Hall,Hall,food & drinks,149.0705762,-35.1708024,1070,24
Salut! Baroque,Hall,things to do,149.0719164,-35.1700763,490,14
Apex Driving School,Harrison,things to do,149.1520997,-35.1925966,470,10
BD Dine,Harrison,food & drinks,149.1498545,-35.2006031,2180,57
Curves Gungahlin,Harrison,personal care,149.149657,-35.2012318,20,1
Hualong Supermarket,Harrison,retail,149.149657,-35.2012318,61300,1584
Mel Hill Photography,Harrison,retail,149.1492666,-35.2019534,4770,100
Nucy Thai Massage,Harrison,retail,149.1578445,-35.1960519,270,6
The Healthy Eating Clinic — Harrison,Harrison,personal care,149.1496824,-35.2005917,120,3
Beijing House Chinese Restaurant,Hawker,food & drinks,149.0430583,-35.2429517,2540,70
Hawka Thai Massage Centre,Hawker,personal care,149.04363,-35.243154,1710,36
Olive at Hawker,Hawker,food & drinks,149.0434623,-35.2434498,650,15
Foodworks Holder,Holder,food & drinks,149.0441674,-35.3366446,840,31
Bunny Beans Cafe,Holt,food & drinks,149.0192077,-35.2207692,510,23
Canberra Halal Market Kippax,Holt,retail,149.0183338,-35.2219216,500,10
Elite Meats,Holt,retail,149.0193863,-35.2218013,3390,82
ICHI Cafe,Holt,food & drinks,149.0199532,-35.2223388,40,3
Kippax Asian Grocer,Holt,food & drinks,149.0195448,-35.2220159,4880,175
Kippax Chinese Medicine Clinic,Holt,personal care,149.0192077,-35.2207692,630,19
My Value,Holt,retail,149.0199532,-35.2223388,1020,28
NewsXpress Kippax Fair,Holt,retail,149.0193863,-35.2218013,170,4
Quan's Kitchen,Holt,food & drinks,149.019269,-35.2203905,1250,42
Sparkling Nails Beauty,Holt,personal care,149.0199532,-35.2223388,410,19
Wattlebird Canberra,Holt,things to do,149.0114294,-35.224764,660,15
Barbell Foods,Hume,food & drinks,149.1597064,-35.3943238,50,1
Hair & Makeup Artistry By Nicole,Hume,personal care,149.1677414,-35.39075984,100,2
Signage Factor,Hume,retail,149.1661264,-35.3928456,100,2
Supersweet Pastry,Isaacs,food & drinks,149.1117668,-35.3678715,410,15
Capital Chemist Isabella Plains,Isabella Plains,retail,149.091575,-35.4285511,1110,37
Curves Belconnen,Jamison Centre,personal care,149.0721892,-35.2528302,50,1
Awesome Noodle Asian Cuisine,Kaleen,food & drinks,149.1028304,-35.2340491,570,18
Australian Essences — Women's Natural Health Clinic,Kambah,personal care,149.0666463,-35.3825841,310,8
Bellelis Australia,Kambah,retail,149.0501496,-35.3831876,5600,139
Bewitched Flowers & Gifts,Kambah,retail,149.0501496,-35.3831876,570,17
Bidgee Golf Shop,Kambah,retail,149.038432,-35.3855214,8900,198
Brew Your Own at Home,Kambah,retail,149.0578813,-35.3806661,670,14
Capital Chemist Kambah,Kambah,retail,149.0575557,-35.3798858,570,22
Crafty Frog,Kambah,retail,149.0662155,-35.3791389,5630,139
IGA Drakeford Supermarket,Kambah,retail,149.0684844,-35.3931445,5530,181
Looking For Gamers (LFG) Australia,Kambah,retail,149.0578943,-35.3806121,1490,31
Lotus Skin & Beauty,Kambah,personal care,149.0501729,-35.3831687,650,13
Murrumbidgee Country Club,Kambah,food & drinks,149.038432,-35.3855214,6010,122
On The Grind Canberra Cafe,Kambah,food & drinks,149.0684926,-35.3930138,20,2
Spring Garden Chinese Restaurant,Kambah,food & drinks,149.0578263,-35.3806694,290,9
Star Buffet,Kambah,food & drinks,149.0588908,-35.3815139,4820,161
45 90 Framing & Gallery,Kingston,retail,149.14027,-35.315968,1340,28
7th & Bake Patisserie Cafe,Kingston,food & drinks,149.1470768,-35.3133797,260,15
Beef & Barley,Kingston,food & drinks,149.1471622,-35.3139653,350,11
Brodburger,Kingston,food & drinks,149.143675,-35.3115562,1660,90
Canberra Glassworks,Kingston,retail,149.143675,-35.3115562,150,3
Capital Chemist Kingston,Kingston,retail,149.1415394,-35.31570969,330,8
Caribou Kingston,Kingston,food & drinks,149.141604,-35.31540173,60,2
Chong Co Thai Kingston,Kingston,food & drinks,149.146169,-35.31198519,1490,46
Cinnarbar,Kingston,food & drinks,149.1471622,-35.3139653,1910,72
CocoNine,Kingston,food & drinks,149.1464197,-35.3123839,1110,35
EasiMart Kingston,Kingston,retail,149.1471622,-35.3139653,13600,548
GoBoat Canberra,Kingston,things to do,149.1467866,-35.311226,450,9
H2O Medi Spa,Kingston,personal care,149.1456468,-35.3129687,680,16
Local Press Wholefoods,Kingston,food & drinks,149.1456508,-35.3129702,110,5
Lys Nails,Kingston,things to do,149.1404342,-35.3134322,270,8
Magoo's Cafe & Bar,Kingston,food & drinks,149.1460592,-35.311797,110,6
Penny University Cafe,Kingston,food & drinks,149.1406634,-35.3162859,320,17
Scott Leggo,Kingston,retail,149.1423918,-35.3156691,800,19
Silo Bakery,Kingston,food & drinks,149.1404237,-35.3157855,870,49
SportsTec Clinic,Kingston,personal care,149.1456506,-35.3129704,880,22
Sushi Go,Kingston,food & drinks,149.1405234,-35.3162384,880,34
Thai Chiang Rai Kingston,Kingston,food & drinks,149.1406865,-35.3154921,850,30
The Book Cow,Kingston,retail,149.142359,-35.3157693,1340,41
The Dock Kingston,Kingston,food & drinks,149.1464197,-35.3123839,890,28
The Durham Castle Arms,Kingston,food & drinks,149.1413808,-35.3157956,600,20
The Warehouse Roast Tap Brew,Kingston,food & drinks,O’Connor ACT 2602,-35.3168171,40,3
Thirty8 Espresso,Kingston,food & drinks,149.1459653,-35.3116208,130,8
Tokyo Canteen,Kingston,food & drinks,149.1424256,-35.3163767,410,17
Turkish Delight Kingston,Kingston,food & drinks,149.1457753,-35.3129422,270,11
Walt & Burley,Kingston,food & drinks,149.1452758,-35.31047292,480,18
Chinese Inn Restaurant,Kippax Centre,food & drinks,149.0193863,-35.2218013,7000,223
KC Kicks,Lawson,retail,149.0894227,-35.2329474,620,13
Capital Chemist Lyneham,Lyneham,retail,149.1250304,-35.2524651,4080,135
China Tea Club,Lyneham,food & drinks,149.1247624,-35.2396602,1260,42
Foundation Beauty Therapy,Lyneham,retail,149.12513,-35.252789,410,12
Mels Massage,Lyneham,personal care,149.128215,-35.2415926,3460,75
The Front,Lyneham,food & drinks,149.1247613,-35.2521562,470,29
The Old Canberra Inn,Lyneham,food & drinks,149.1261966,-35.2438597,620,35
Yowani Golf Shop,Lyneham,retail,149.134867,-35.2421296,3500,77
Lyons Friendly Grocer,Lyons,retail,149.0766746,-35.3391283,1430,54
Stand By Me,Lyons,food & drinks,149.076555,-35.3391844,200,11
The Allergy Centre,Macquarie,retail,149.0714774,-35.2527749,2750,76
Discount Hut,Macquarie,retail,149.0720641,-35.2529636,550,28
Gungahlin & Jamison Plaza Travel Associates,Macquarie,accommodation,149.0709855,-35.2532181,19160,385
Jamison Travel,Macquarie,accommodation,149.0729228,-35.2522898,1860,38
Pizza Artigiana,Macquarie,food & drinks,149.0729228,-35.2522898,1140,39
Caffe Cherry Beans Majura Park,Majura,food & drinks,149.1909118,-35.2992128,200,9
Majura Massage,Majura,retail,149.1909118,-35.2992128,1690,35
Oporto Majura Park,Majura,food & drinks,149.1897653,-35.2992838,380,24
Oxygen Essentials For Life,Majura,retail,149.1903758,-35.3001906,530,14
The Coffee Club Majura Park,Majura,food & drinks,149.1897653,-35.2992838,500,29
Zambrero Majura Park,Majura,food & drinks,149.1888614,-35.2992671,80,7
Alexander Fax Booksellers,Mawson,retail,149.094368,-35.3647429,90,3
Green Bamboo Vietnamese Restaurant,Mawson,food & drinks,149.0983469,-35.3552718,540,15
Iron Chef Chinese & Malaysian Restaurant,Mawson,food & drinks,149.0940258,-35.3650084,2810,86
Let's Be Natural,Mawson,food & drinks,149.0941587,-35.3656945,5780,160
Savers Bazaar,Mawson,retail,149.0941587,-35.3656945,480,32
Subway Mawson/Conder,Mawson,food & drinks,149.0951263,-35.3657483,160,16
The Mawson Club,Mawson,food & drinks,149.0955989,-35.3659994,550,30
Raijin Japanese Cuisine,Mckellar,food & drinks,149.0741782,-35.2178473,1840,54
Delhi to Canberra Indian Resturant,Melba,food & drinks,149.0487152,-35.2085595,1460,38
Altina Drinks,Mitchell,food & drinks,149.1375245,-35.2165555,3250,67
Bestore,Mitchell,retail,149.14453,-35.2204521,35900,877
Burger Hero Mitchell Takeaway,Mitchell,food & drinks,149.1403765,-35.2180737,120,9
DR Print & Sign,Mitchell,things to do,149.1448067,-35.2171937,610,15
Functional Fitness,Mitchell,personal care,149.1399645,-35.210358,430,11
Gommy's Cafe,Mitchell,food & drinks,149.1380832,-35.2143761,270,12
Metaphysica,Mitchell,things to do,149.1399907,-35.2184411,710,18
Mr Warehouse,Mitchell,food & drinks,149.1389959,-35.2104611,6160,124
Pure Gelato ACT,Mitchell,food & drinks,149.1449429,-35.21627929,70,2
Rice & Things Takeaway,Mitchell,food & drinks,149.1426824,-35.2191765,510,23
Riddle Room,Mitchell,things to do,149.1380955,-35.2145224,2940,90
Fairy Legends,Moncrieff,accommodation,149.102169,-35.1501787,920,20
Knuckles German Restaurant,Narrabundah,food & drinks,149.1516758,-35.339023,290,9
Mint Rd Cafe,Narrabundah,food & drinks,149.1537566,-35.3328842,10,1
Caffe Cherry Beans Casey,Ngunnawal,food & drinks,149.0958207,-35.1743677,320,13
Mirchi,Ngunnawal,food & drinks,149.1201416,-35.1741873,2820,77
Spar Express Ngunnawal,Ngunnawal,retail,149.108155,-35.173951,1290,45
Adore Tea,Nicholls,food & drinks,149.085258,-35.1906631,1870,76
Carlee Childrens Wear,Nicholls,retail,149.085201,-35.190655,670,20
Express Travel Services,Nicholls,accommodation,149.1024268,-35.1889037,2900,62
Gungahlin Lakes Golf Pro Shop,Nicholls,retail,149.1195198,-35.1863131,16760,350
Katsu Nicholls Takeaway,Nicholls,food & drinks,149.0985506,-35.183516,130,5
Mini Golf Federation Square,Nicholls,things to do,149.085201,-35.190655,10,1
Nicholls Chinese Food,Nicholls,food & drinks,149.0985291,-35.18334059,2050,61
Nicholls IGA Supermarket,Nicholls,retail,149.0985703,-35.1831529,2740,92
Stripey Sundae,Nicholls,food & drinks,149.0855216,-35.192223,60,4
Under The Mistletoe,Nicholls,retail,149.0852039,-35.1905884,1180,31
Capital Chemist O'Connor,O'Connor,retail,149.1226043,-35.2638905,1680,62
Kopiku,O'Connor,food & drinks,149.1223817,-35.2640227,440,21
Slow Beauty Eco Salon,O'Connor,retail,149.1174954,-35.2619151,270,6
The Duxton O'Connor,O'Connor,food & drinks,149.1222852,-35.2643196,540,21
The Verandah,O'Connor,food & drinks,149.1061424,-35.25742799,80,3
Urban Jungle Cbr,O'Connor,retail,149.1225145,-35.264031,2750,73
Quintessence Nail & Beauty,Page,personal care,149.0522998,-35.2396221,670,16
Shine Om,Page,personal care,149.0453758,-35.2406438,50,1
Capital Chemist Palmerston,Palmerston,retail,149.1182755,-35.1972244,380,15
The Curatoreum,Parkes,retail,149.1338349,-35.2998693,2100,54
Saigon Restaurant,Pearce,food & drinks,149.0815016,-35.3625429,270,6
4 Corners Picture Framers,Phillip,retail,149.0888718,-35.3524858,1430,33
606 Asian Supermarket,Phillip,retail,149.0861046,-35.3448084,8770,272
Asian Noodle House Woden,Phillip,food & drinks,149.0843098,-35.3404121,1620,65
Asian Provisions,Phillip,food & drinks,149.0874498,-35.3528169,5250,183
Au Lac Vegan Cuisine,Phillip,food & drinks,149.0860576,-35.3463199,2160,75
Aussie Windscreens,Phillip,retail,149.0868683,-35.3520721,470,10
Bellchambers Music School,Phillip,things to do,149.0886967,-35.3525249,11100,225
Belluci's Woden,Phillip,food & drinks,149.0843111,-35.3401898,1440,40
Buvelot Picture Framers,Phillip,retail,149.0894308,-35.3523238,1570,34
Canberra Martial Arts & Fitness,Phillip,things to do,149.0875394,-35.3514976,3700,83
Canberra School of Photography,Phillip,things to do,149.088319,-35.3536846,200,4
Canberra Sewing,Phillip,retail,149.086775,-35.3522516,520,14
Chatime,Phillip,food & drinks,149.0846978,-35.3464231,770,61
Chinese Kitchen Dumpling House,Phillip,food & drinks,149.0860576,-35.3463199,2630,102
Discount Grocery Store,Phillip,retail,149.0871925,-35.3541011,6770,146
Dumpling Social,Phillip,food & drinks,149.0874825,-35.346542,2850,89
Enliven Infrared Saunas,Phillip,personal care,149.0897016,-35.354286,140,4
Escape Rooms Canberra,Phillip,things to do,149.0877217,-35.3539751,1330,34
Ginseng @ Hellenic,Phillip,food & drinks,149.0868355,-35.34194664,70,2
Hair Crew,Phillip,personal care,149.0860576,-35.3463199,1620,38
Indian Affair Restaurant,Phillip,food & drinks,149.0878874,-35.3527192,1020,29
KimoYes,Phillip,retail,149.087824,-35.354804,380,12
Kwik Kopy Phillip,Phillip,retail,149.0876226,-35.3514764,50,1
La Beaute Hair Salon,Phillip,personal care,149.0860576,-35.3463199,200,4
La Beaute Hair Salon/Barberology,Phillip,personal care,149.0851433,-35.3452449,300,9
Little Sprout,Phillip,retail,149.0894252,-35.3523496,9780,225
Ming's Restaurant Chinese & Malaysian,Phillip,food & drinks,149.0863561,-35.3506544,2570,83
OfficeEssential Office National,Phillip,retail,149.0868561,-35.3499296,520,15
Rashays Woden,Phillip,food & drinks,149.0858947,-35.3460898,3530,126
Sharetea Woden,Phillip,food & drinks,149.0869152,-35.3467936,330,31
