name,suburb,category,description,address,lng,lat,value,vouchers
106 Hotpot,Canberra,Food and drinks,"The 1st and only small hot pot with more than 12 different base soup choices, including Thai, Japanese, Chinese and other Asian style flavors. Warm your body, amaze your tongue. Now $25 combo is available.",106 Alinga St.,149.1299155,-35.2786945,580,18
11:11 Health and Wellbeing,Wright,Personal care,"Our purpose is to help individuals find health, happiness and success by offering personal services of Personal Training, Yoga and Life Coaching. We partner with our clients to work towards their goals, providing supportive and tailored services",9 Philip Hodgins St,149.0323008,-35.3204189,100,2
1882 Hall,Hall,Food and drinks,"We’re all about great food and amazing local wines. Enjoy our delicious seasonal menu or join us for one of our upcoming wine dinners.
1882 Hall - Best Casual Dining, 2021 AHA Awards.",13 Gladstone St,149.0705762,-35.1708024,1070,24
1980 Chinese restaurant,Acton,Food and drinks,Traditional and Modern Chinese cuisine! Fresh Seafood ! Functional private room. Highly recommend for parties!,2/25 Childers st,149.1250974,-35.2774003,2130,67
2 Yummy,Belconnen,Food and drinks,take away food and restaurant,114 Emu Bank St,149.0700087,-35.2361286,1080,54
21 CAPITAL MART,Canberra,Food and drinks,"Capital Mart is a retail grocery store located in the new Acton area in Canberra, where you can buy your drinks, snacks, milk and a lot of things.",21 Marcus Clarke Street,149.1248347,-35.2845174,70,3
4 Corners Picture Framers,Phillip,Retail,Four Corners Picture Framers has been making homes and businesses throughout the entire Canberra area more beautiful for 30 years. Our mission has always been to provide the highest quality expert custom framing for the best price available.,"59 Colbee Court, PHILLIP",149.0888718,-35.3524858,1430,33
45 90 Framing & Gallery,Kingston,Retail,Not your average picture framing shop! 45 90 makes it easy for you to create beautiful pieces to add warmth and personality to your home. Our design team make choosing the right frame and border combination an easy experience so your pieces look their absolute best and are protected and safe.,28 Giles St,149.14027,-35.315968,1340,28
5 Senses Gourmet Cafe,Tuggeranong,Food and drinks,"Welcome to cafe dining with good, wholesome food, friendly staff and a comfortable atmosphere.
All food prepared on site from using fresh ingredients, cooked to your liking.
We also do take away or Menulog, UberEats, Deliveroo and DoorDash.
","Shop K20, South.Point Shopping Centre",149.0665317,-35.4167822,130,4
54 Benjamin,Belconnen,Food and drinks,"54 Benjamin is a modern, stylish cafe and bar nestled in the heart of Belconnen offering great quality coffee, classic go-to breakfast and lunch choices, as well as options for those who are feeling a bit more adventurous. As a bonus, the whole menu is available to take away",4/54 Benjamin Way,149.067174,-35.2403484,50,1
606 Asian Supermarket,Phillip,Retail,"Located in Woden, ACT.
.
606 offering a quality selection of food,
and lifestyle products from Asia.
.
G116, 20 Bradley St, ACT 2606","Shop G116, 20 Bradley St",149.0861046,-35.3448084,8770,272
6th Position,Canberra,Things to do,"6th Position is the Canberra dance school for adults, regardless of whether you are a new, continuing or returning dancer. We provide an adult-friendly environment to explore or push your boundaries through dance.",83 Petrie Plaza,149.1325963,-35.2790247,760,17
7FA EVENTS,Dickson,Things to do,"We are the media team of 7FA.EVENTS, providing private customized shooting services, including business, personal, family, parties, and events. In addition, we are a team composed of members with multilingual and multicultural backgrounds, hoping to bring more value to our customers.",21 Challis st,149.1352298,-35.2506136,180,8
7th&bake Patisserie Cafe,Kingston,Food and drinks,"We are a patisserie cafe based on Kingston foreshore. We provide Brunch, premium coffee&beverages as well as daily fresh baked pastries.",144 41 Eastlake Pde,149.1470768,-35.3133797,260,15
88mph,Canberra,Food and drinks,"Hidden in a basement in Hobart Place, 88mph is jam-packed with all things 80’s - the music, the colour and most importantly, the fun.
Featuring private karaoke rooms, arcade games, a light-up dance floor, colourful cocktails, house-made pizzas and a soundtrack of nothing but 80’s tunes.","Basement, 8-10 Hobart Place",149.1264665,-35.2791153,190,5
A Bite to Eat,Chifley,Food and drinks,One of Canberra's favorite cafes situated in the Woden Valley. Serving specialty coffee & food to treat your senses we are available 7 days for dine in or takeaway. With a range of inside & courtyard seating available we highly recommend booking to secure your spot in one Canberra's best - 6260 3703,Shop 8 Chifley Place,149.0759174,-35.3523665,1110,39
ABOUT FACE Beauty & Anti Aging Salon,Greenway,Retail,"A modern salon with traditional skin care to advanced anti aging treatments. IPL rejuvenation & skin correction, permanent hair reduction, skin needling, fat cavitation, waxing, tinting/brow henna, LED light, hydrafacial, micro-dermabrasion, laser, skin peel, ear piercing, dermaplaning, tatt removal",9-310 anketell st,149.0698197,-35.4197902,180,5
Accelerate Physiotherapy,Garran,Personal care,"Accelerate Physiotherapy is a boutique Physiotherapy practice located at Garran Shops. We have 6 highly skilled physiotherapists ready to help you to Accelerate your Potential.

","Unit 9, 2 Garran Place",149.1078307,-35.3420415,540,12
Across The Board Cake Decorating Pty Ltd,Greenway,Retail,"Across The Board Cake Decorating caters to ALL cake decorators. With cake decorating supplies for any occasion cakes, cupcakes and birthday cakes.
We also supply Naked Cakes (pre baked cakes for you to decorate) and have classes for a variety of ages.","191 - 203 Anketell St, Shop 22, Four Seasons House",149.0682154,-35.4157809,7450,174
ACT FRUIT VEG AND BUTCHER,Gungahlin,Food and drinks,"We are family business in Gungahlin that offers Halal butcher, international groceries and frozen seafood, veggies and Paratha. We also sell fresh sugarcane juice and fresh squeezed orange juice, local fruit and veggies.",134/54 Ernest Cavanagh St,149.1371932,-35.1848955,9760,270
Adam & Eve,Fyshwick,Retail,,"107 Gladstone St, Fyshwick ACT 2609",149.1811836,-35.32269337,1220,34
Adore Tea,Nicholls,Food and drinks,"At Adore Tea, we love all things tea! With over 200 teas covering 11 different tea categories, Adore Tea is one of Australia’s largest speciality tea boutique companies. We first began sharing our love for tea in 2006 and are now a multi award winning tea company.","Federation Square, Shop 6/ 18 O'Hanlon Place",149.085258,-35.1906631,1870,76
Aeon Academy,Yarralumla,Things to do,"Come & experience our unique Visual Arts & Immersive Adventures programs. Aeon Academy’s Creative & Active programs for Children & Teens, aged 7 – 16, are renowned for providing Inspiring & Engaging vacation experiences your child will never forget!",24 Loftus St,149.1021454,-35.3068178,250,5
