Merchant # Vouchers Total Value of Vouchers
"1 Daily Market City & Gungahlin 1918 67,700.00 $                         "
"2 Hualong Supermarket 1584 61,300.00 $                         "
"3 Chemist Warehouse Belconnen Markets- Ibbott lane 1366 57,190.00 $                         "
"4 Deji Asian Supermarket 1286 44,850.00 $                         "
"5 Oriental Groceries 953 37,710.00 $                         "
"6 Panda fresh mart 927 23,320.00 $                         "
"7 Mega Convenience Store 890 29,600.00 $                         "
"8 Mani asian supermarket 883 29,990.00 $                         "
"9 Wukong Hotpot & Super Emoji 878 29,810.00 $                         "
"10 BESTORE 877 35,900.00 $                         "
"11 SAIGON ASIAN FOOD, RETAIL & WHOLESALE 764 30,510.00 $                         "
"12 Fresco Seafood 723 23,510.00 $                         "
"13 Sycamore Medi Spa 662 28,840.00 $                         "
"14 EBEST CANBERRA 621 23,720.00 $                         "
"15 Asian Supa 592 20,390.00 $                         "
"16 EasiMart Kingston 548 13,600.00 $                         "
"17 Z COSME STORE 543 21,010.00 $                         "
"18 YumchaCBD 531 19,100.00 $                         "
"19 Vina Groceries 524 18,050.00 $                         "
"20 Ginger and Spice 499 17,030.00 $                         "
"21 CHILADA/ VR Canberra 489 19,630.00 $                         "
"22 Emart 460 15,500.00 $                         "
"23 Desi Bazzar 447 19,070.00 $                         "
"24 TAK KEE ROAST INN 418 9,300.00 $                           "
"25 The Food Forum 414 10,560.00 $                         "
"26 Oscar's Bakery Cafe 408 17,980.00 $                         "
"27 Yesmart 396 13,830.00 $                         "
"28 Gungahlin & Jamison Plaza Travel Associates 385 19,160.00 $                         "
"29 Raku Dining 371 18,230.00 $                         "
"30 LOST RIVER MEAT 371 12,920.00 $                         "
"31 Gungahlin Lakes Golf Pro Shop 350 16,760.00 $                         "
"32 Pandora Belconnen and Pandora Canberra Centre 345 15,470.00 $                         "
"33 MK Butcher 344 11,110.00 $                         "
"34 Weston asian grocery 339 11,590.00 $                         "
"35 Nikki Cosmo 324 13,330.00 $                         "
"36 Toyworld Fyshwick & Toyworld Belconnen 302 12,140.00 $                         "
"37 Super Emoji Citywalk 302 7,800.00 $                           "
"38 Dymocks Canberra 286 10,160.00 $                         "
"39 coolbuy 283 10,150.00 $                         "
"40 Jimmyâ€™s place 278 10,610.00 $                         "
"41 hing shing butchery/å…´ç››è‚‰åº— 273 8,200.00 $                           "
"42 606 Asian Supermarket 272 8,770.00 $                           "
"43 ACT FRUIT VEG AND BUTCHER 270 9,760.00 $                           "
"44 National Zoo & Aquarium 261 12,240.00 $                         "
"45 Golden Drum 257 9,980.00 $                           "
"46 Deakin IGA Supermarket 253 8,720.00 $                           "
"47 Ai Buy Market 245 5,720.00 $                           "
"48 UC Supermarket 243 7,600.00 $                           "
"49 Dendy Cinemas Canberra 236 6,560.00 $                           "
"50 Rashays Casual Dining Belconnen 231 6,430.00 $                           "
"51 The Scholar Chinese Seafood Restaurant 230 7,650.00 $                           "
"52 Bellchambers Music School 225 11,100.00 $                         "
"53 Little Sprout 225 9,780.00 $                           "
"54 Chinese Inn Restaurant 223 7,000.00 $                           "
"55 rusden europro automotive 222 10,260.00 $                         "
"56 Dymocks Belconnen 220 6,930.00 $                           "
"57 Tasty Fish 214 5,310.00 $                           "
"58 Mont Adventure Equipment 213 9,620.00 $                           "
"59 GUZMAN Y GOMEZ Canberra Centre/ Belconnen/ Gungahl 212 3,310.00 $                           "
"60 Here Collective 211 10,130.00 $                         "
"61 Impact Comics 208 7,520.00 $                           "
"62 Capital Chemist Dickson 205 5,630.00 $                           "
"63 Continental grocery and halal meat 199 7,600.00 $                           "
"64 Bidgee Golf Shop 198 8,900.00 $                           "
"65 Super Emoji Gungahlin 194 5,040.00 $                           "
"66 TG-ONE Groceries 187 6,410.00 $                           "
"67 Ziggys Fresh Belconnen 185 4,120.00 $                           "
"68 PappaRich Canberra 184 4,170.00 $                           "
"69 Asian Provisions 183 5,250.00 $                           "
"70 IGA Drakeford Supermarket 181 5,530.00 $                           "
"71 Fortune Box 180 5,650.00 $                           "
"72 Tackle World Canberra 179 8,590.00 $                           "
"73 bread and butter cafe 176 4,070.00 $                           "
"74 POP Canberra 175 5,620.00 $                           "
"75 Kippax Asian Grocer 175 4,880.00 $                           "
"76 Across The Board Cake Decorating Pty Ltd 174 7,450.00 $                           "
"77 Pandora Tuggeranong 171 7,530.00 $                           "
"78 O2 Hair 169 6,280.00 $                           "
"79 Chic Gourmet 168 6,460.00 $                           "
"80 Tasting China 168 5,870.00 $                           "
"81 Smart Dollar Tuggeranong 166 3,230.00 $                           "
"82 Star Buffet 161 4,820.00 $                           "
"83 Let's Be Natural 160 5,780.00 $                           "
"84 Pharmacy Select Gungahlin 159 4,700.00 $                           "
"85 Latorta 153 5,520.00 $                           "
"86 Landspeed Records 152 6,190.00 $                           "
"87 Canberra City Gymnastics Club 149 7,270.00 $                           "
"88 Daily market 148 4,080.00 $                           "
"89 Discount grocery store 146 6,770.00 $                           "
"90 Sichuan Chinese Restaurant 145 4,730.00 $                           "
"91 Pedal Power ACT 144 7,140.00 $                           "
"92 artKids Canberra 140 6,810.00 $                           "
"93 Crafty Frog 139 5,630.00 $                           "
"94 Bellelis Australia Pty Ltd 139 5,600.00 $                           "
"95 Limelight Cinemas 135 4,680.00 $                           "
"96 Capital Chemist Lyneham 135 4,080.00 $                           "
"97 Rashays Tuggeranong 133 2,920.00 $                           "
"98 AKIKAMBARA 132 6,050.00 $                           99 Belconnen Chicken 130 2,460.00 $                           "
"100 HEY SHOW KARAOKE 126 4,650.00 $                           "
"101 Rashays Woden 126 3,530.00 $                           "
"102 Ziggys Fresh Fyshwick 125 3,090.00 $                           "
"103 SOULution Yoga 125 5,890.00 $                           "
"104 Mr warehouse 124 6,160.00 $                           "
"105 Sushi Musa Belconnen 123 3,270.00 $                           "
"106 Murrumbidgee Country Club 122 6,010.00 $                           "
"107 Trilogy Skateboards 122 5,620.00 $                           "
"108 Lanzhou Beef Noodle 122 3,910.00 $                           "
"109 CBD DUMPLING HOUSE 120 3,720.00 $                           "
"110 XIAN FAMOUS FOOD DICKSON 120 2,030.00 $                           "
"111 The Source Bulk Foods Belconnen 118 2,900.00 $                           "
"112 Number 1 Spicy Noodle 117 2,010.00 $                           "
"113 Can Tho Vietnamese and Chinese Restaurant 116 2,300.00 $                           "
